company,company_name,year,world_rank,eu_rank,rnd_22,rnd_euro,rnd_org,profit_22,profit_euro,profit_org,netsales_22,netsales_euro,netsales_org,capex_22,capex_euro,capex_org,mcap_22,mcap_euro,mcap_org,emp,ex_rate_euro,currency,icb3_short,icb3_name,icb4_name,nace_rev2,country,iso2,region
TAIJI COMPUTER,TAIJI COMPUTER CORPORATION LIMITED,2022,1470.0,,106.156725,106.156725,781.122413895,82.778702,82.778702,609.1022450564,1398.101508,1398.101508,10287.5105161656,33.604632,33.604632,247.2696031824,1413.544902,1413.544902,10401.1460978964,4239.0,7.3582,CNY,ICT services,Software & Computer Services,Computer Services,6209.0,China,CN,China
TAISEI,TAISEI CORPORATION,2022,1358.0,,119.179192,119.179192,16763.74514672,384.81973,384.81973,54128.7432218,11610.549717,11610.549717,1633139.92319322,114.238719,114.238719,16068.81821454,6010.571516,6010.571516,845446.98944056,14466.0,140.66,JPY,Construction & Materials,Construction & Materials,Construction & Materials,4120.0,Japan,JP,Japan
TAISHO PHARMACEUTICAL,"TAISHO PHARMACEUTICAL HOLDINGS CO.,LTD.",2022,1141.0,,146.496685,146.496685,20606.2237121,162.236933,162.236933,22820.24699578,2130.135461,2130.135461,299624.85394426,186.826212,186.826212,26278.97497992,3123.133771,3123.133771,439299.99622886,8784.0,140.66,JPY,Health industries,Pharmaceuticals & Biotechnology,Pharmaceuticals,2110.0,Japan,JP,Japan
TAIWAN POWER,TAIWAN POWER COMPANY,2022,1162.0,,144.518363,144.518363,4728.64083736,-7886.439497,-7886.439497,-258044.30034184,19695.432679,19695.432679,644434.55725688,,,,,,,,32.72,TWD,Energy,Electricity,Conventional Electricity,3511.0,Taiwan,TW,ROW
TAIWAN SEMICONDUCTOR,"TAIWAN SEMICONDUCTOR MANUFACTURING CO., LTD.",2022,42.0,,4984.627864,4984.627864,163097.02371008,34274.423592,34274.423592,1121459.13993024,69119.82727,69119.82727,2261600.7482744,33055.522975,33055.522975,1081576.711742,399804.183825,399804.183825,13081592.894754,61777.0,32.72,TWD,ICT producers,Technology Hardware & Equipment,Semiconductors,2611.0,Taiwan,TW,ROW
TAIYO YUDEN,TAIYO YUDEN COMPANY LIMITED,2022,1676.0,,89.607033,89.607033,12604.12526178,225.897649,225.897649,31774.76330834,2258.227295,2258.227295,317642.2513147,447.667636,447.667636,62968.929679759996,4003.623546,4003.623546,563149.68798036,21819.0,140.66,JPY,ICT producers,Electronic & Electrical Equipment,Electronic Equipment,2611.0,Japan,JP,Japan
TAIYUAN HEAVY INDUSTRY,"TAIYUAN HEAVY INDUSTRY CO.,LTD.",2022,1699.0,,88.490282,88.490282,651.1291930124,119.687472,119.687472,880.6843564704,1065.881516,1065.881516,7842.9693710312,52.399697,52.399697,385.5674504654,891.210252,891.210252,6557.7032762664,5527.0,7.3582,CNY,Industrials,Industrial Engineering,Industrial Machinery,2899.0,China,CN,China
TAKARA,TAKARA HOLDINGS INC,2022,2240.0,,63.250776,63.250776,8896.85415216,268.199124,268.199124,37724.88878184,2478.470612,2478.470612,348621.67628392,75.047127,75.047127,10556.12888382,1496.148577,1496.148577,210448.25884082,5171.0,140.66,JPY,Others,Beverages,Beverages,1102.0,Japan,JP,Japan
TAKASAGO INTERNATIONAL,TAKASAGO INTERNATIONAL CORPORATION,2022,1545.0,,100.124091,100.124091,14083.45464006,42.039961,42.039961,5913.34091426,1320.230084,1320.230084,185703.56361544,35.438528,35.438528,4984.78334848,395.970524,395.970524,55697.21390584,3913.0,140.66,JPY,Chemicals,Chemicals,Chemicals,2059.0,Japan,JP,Japan
TAKEDA PHARMACEUTICAL,TAKEDA PHARMACEUTICAL COMPANY LIMITED,2022,48.0,,4476.287626,4476.287626,629634.61747316,3452.054778,3452.054778,485566.02507348,28465.874453,28465.874453,4004009.90055898,994.151799,994.151799,139837.39204734,43055.716086,43055.716086,6056217.02465676,49095.0,140.66,JPY,Health industries,Pharmaceuticals & Biotechnology,Pharmaceuticals,2120.0,Japan,JP,Japan
TAKE-TWO INTERACTIVE SOFTWARE,TAKE-TWO INTERACTIVE SOFTWARE INC.,2022,268.0,,800.394118,800.394118,853.7003662588,-938.027779,-938.027779,-1000.5004290814,5015.846894,5015.846894,5349.9022971404,191.449547,191.449547,204.2000868302,19153.96628,19153.96628,20429.620434248,11580.0,1.0666,USD,ICT services,Software & Computer Services,Software,5829.0,US,US,US
TALARIS,"TALARIS THERAPEUTICS, INC.",2022,2516.0,,53.258039,53.258039,56.8050243974,-71.701699,-71.701699,-76.4770321534,0.0,0.0,0.0,2.852992,2.852992,3.0430012672,125.169144,125.169144,133.5054089904,129.0,1.0666,USD,Health industries,Pharmaceuticals & Biotechnology,Biotechnology,7211.0,US,US,US
TALIS BIOMEDICAL,TALIS BIOMEDICAL CORPORATION,2022,2193.0,,65.28317,65.28317,69.631029122,-107.949605,-107.949605,-115.139048693,4.511533,4.511533,4.8120010978,1.514157,1.514157,1.6149998562,22.46138,22.46138,23.957307908,102.0,1.0666,USD,Health industries,Pharmaceuticals & Biotechnology,Biotechnology,7211.0,US,US,US
